CORRETORA,,,,Toro,Toro,Binance,Binance,Binance,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,MB,99 Bank,
ASSET,,,,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
DATA,TOTAL,DIFF,,R$0.00,R$17.10,R$918.04,-R$68.85,R$103.07,-R$0.12,R$0.06,R$0.00,R$0.00,-R$0.29,-R$0.29,-R$0.12,R$5.05,R$4.70,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$2.31,R$328.86,R$0.00
10-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
